tag_id,tag_name
531,1non-fiction
571,2-non-fiction
1159,52-non-fiction
1277,_leisure-non-fiction
1512,academic-non-fiction
1668,adult-non-fiction
1699,adventure-non-fiction
1748,africa-non-fiction
2083,all-non-fiction
2563,animal-non-fiction
2836,arabic-non-fiction
3064,art-non-fiction
4349,best-non-fiction
5996,business-non-fiction
6410,category-non-fiction
6556,challenge-cfd-non-fiction-2014
7087,christian-bibles-non-fiction
7154,christian-non-fiction
7352,civil-war-non-fiction
8482,creative-non-fiction
8537,crime-non-fiction
8677,cultural-non-fiction
10662,english-non-fiction
10767,equine-non-fiction
11538,favorite-non-fiction
11539,favorite-non-fiction-of-2015
11679,feminist-non-fiction
11807,fiction-non-fiction
12237,food-non-fiction
12741,g-non-fiction-and-self-help
12954,general-non-fiction
13016,genre-narrative-non-fiction
13018,genre-non-fiction
13545,graphic-non-fiction
13629,great-non-fiction
13758,guardian-100-non-fiction
14502,historical-fiction-non-fiction
14520,historical-non-fiction
14601,history-non-fiction
15458,india-non-fiction
15477,indian-non-fiction
15975,j-non-fiction
16142,jamie-non-fiction-owned
16321,jennas-non-fiction
16392,jewish-non-fiction
16808,juvenile-non-fiction
17747,lds---non-fiction
17762,lds-non-fiction
19647,medical-non-fiction
20058,military-non-fiction
20161,misc-non-fiction
20690,music-non-fiction
20861,my-non-fiction-collection
21122,narrative-non-fiction
21689,non-fiction
21690,non-fiction-adventure
21691,non-fiction-animals
21692,non-fiction-art
21693,non-fiction-art-catalogues
21694,non-fiction-art-history
21695,non-fiction-art-technique
21696,non-fiction-audiobooks
21697,non-fiction-biography
21698,non-fiction-biography-memoir
21699,non-fiction-books
21700,non-fiction-books-to-be-read
21701,non-fiction-business
21702,non-fiction-christian
21703,non-fiction-climbing
21704,non-fiction-coffee-table
21705,non-fiction-crime
21706,non-fiction-design
21707,non-fiction-essays
21708,non-fiction-etc
21709,non-fiction-food
21710,non-fiction-general
21711,non-fiction-general-info
21712,non-fiction-history
21713,non-fiction-humor
21714,non-fiction-humor-pop-culture
21715,non-fiction-ish
21716,non-fiction-kindle
21717,non-fiction-medical
21718,non-fiction-memoir
21719,non-fiction-memoirs
21720,non-fiction-military
21721,non-fiction-narrative
21722,non-fiction-novel
21723,non-fiction-other
21724,non-fiction-parenting
21725,non-fiction-philosophy
21726,non-fiction-picture-books
21727,non-fiction-psychology
21728,non-fiction-read
21729,non-fiction-reading-list
21730,non-fiction-religion
21731,non-fiction-religious
21732,non-fiction-science
21733,non-fiction-self-help
21734,non-fiction-sports
21735,non-fiction-survival
21736,non-fiction-tbr
21737,non-fiction-technology
21738,non-fiction-theatre-y
21739,non-fiction-to-read
21740,non-fiction-travel
21741,non-fiction-war
21742,non-fiction_art
21743,non-fictions
22556,other-non-fiction
22705,own-non-fiction
23585,pick-me-up-non-fiction
23918,political-non-fiction
23974,pop-current-non-fiction
24622,pulitzer-non-fiction
25242,read-non-fiction
25697,religious-non-fiction
26479,saggi-non-fiction-et-simili
26865,science-non-fiction
27548,shelfari-non-fiction
28368,spiritual-non-fiction
28441,sports-non-fiction
29344,tbr-non-fiction
30587,to-read-_-non-fiction
30755,to-read-non-fiction
31062,tr-non-fiction
31397,type-non-fiction
31567,unread-non-fiction
32146,war-non-fiction
32600,wishlist-non-fiction
32823,world-war-two-non-fiction
32927,wwii-non-fiction
33211,z-sociology-non-fiction
