book_id,title
1,Harry Potter and the Half-Blood Prince
2,Harry Potter and the Order of the Phoenix
3,Harry Potter and the Philosopher's Stone
5,Harry Potter and the Prisoner of Azkaban
6,Harry Potter and the Goblet of Fire
8,
10,Harry Potter Collection
11,The Hitchhiker's Guide to the Galaxy
13,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
21,A Short History of Nearly Everything
24,Down Under
25,Notes from a Big Country
26,The Lost Continent: Travels in Small-Town America
27,Neither Here Nor There: Travels in Europe
28,Notes from a Small Island
29,The Mother Tongue: English and How It Got That Way
30,The Hobbit and The Lord of the Rings
33,The Lord of the Rings
34, The Fellowship of the Ring
36,The Lord of the Rings: Weapons and Warfare
50,Hatchet
67,The Known World
93,Heidi
98,What to Expect the First Year
105,Chapterhouse: Dune
106,Dune Messiah 
112,Children of Dune
117,Heretics of Dune
119,The Lord of the Rings: The Art of The Fellowship of the Ring
122,The Power of One
231,
249,Tropic of Cancer
250,Tropic of Capricorn
264,The Portrait of a Lady
275,L'Amant
291,الأجنحة المتكسرة
295,Treasure Island
304,Daniel Deronda
320,Cien años de soledad
343,Das Parfum. Die Geschichte eines Mörders
348,The Door into Summer
350,Stranger in a Strange Land
353,Time Enough for Love
355,Job: A Comedy of Justice
357,The Long Dark Tea-Time of the Soul
359,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time
360,Mostly Harmless
365,Dirk Gently's Holistic Detective Agency
378,The Phantom Tollbooth
386,Another Bullshit Night in Suck City: A Memoir
400,Libra 
415,Gravity's Rainbow
424,Slouching Towards Bethlehem: Essays
428,Play It as It Lays
431,The New York Trilogy
432,City of Glass
446,The Brooklyn Follies
447,Moon Palace
449,Timbuktu
456,Leviathan
475,Collapse: How Societies Chose to Fail or Succeed
597,Killing Yourself to Live: 85% of a True Story
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
629,Zen and the Art of Motorcycle Maintenance
647,No Logo
656,Война и миръ
662,Atlas Shrugged
665,The Virtue of Selfishness: A New Concept of Egoism
667,Anthem
668,We the Living
676,Sailing Alone Around the Room: New and Selected Poems
698,Digging to America
703,The Plot Against America
706,America
760,Memoria de mis putas tristes
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
816,Cryptonomicon
822,The Confusion
823,Quicksilver
825,Zodiac
827,The Diamond Age
830,Snow Crash
840,The Psychology of Everyday Things
865,O Alquimista
870,鋼の錬金術師 1
880,Pompeii
890,Of Mice and Men 
900,The Game
902,The Westing Game
903,The Egypt Game
930,Memoirs of a Geisha
952,The Five Love Languages of Children
960,Angels & Demons 
968,The Da Vinci Code
976,Deception Point
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1005,Think and Grow Rich
1032,Trump: The Art of the Deal
